oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Przeciętne miesięczne wynagrodzenia brutto|ogółem
23,042214112000,słupski,2304.0,2020,2212,powiat,22,pomorskie,4696.62
235,042214207000,kwidzyński,835.0,2020,2207,powiat,22,pomorskie,4824.01
236,042214209000,malborski,494.0,2020,2209,powiat,22,pomorskie,4559.54
237,042214213000,starogardzki,1345.0,2020,2213,powiat,22,pomorskie,4969.91
238,042214214000,tczewski,697.0,2020,2214,powiat,22,pomorskie,5031.71
239,042214216000,sztumski,731.0,2020,2216,powiat,22,pomorskie,4719.0
241,042217203000,człuchowski,1575.0,2020,2203,powiat,22,pomorskie,4569.32
243,042217206000,kościerski,1166.0,2020,2206,powiat,22,pomorskie,4328.66
244,042815402000,braniewski,1202.0,2020,2802,powiat,28,warmińsko-mazurskie,4460.29
245,042815403000,działdowski,954.0,2020,2803,powiat,28,warmińsko-mazurskie,4145.8
246,042815404000,elbląski,1416.0,2020,2804,powiat,28,warmińsko-mazurskie,4268.29
247,042815407000,iławski,1385.0,2020,2807,powiat,28,warmińsko-mazurskie,4219.71
248,042815412000,nowomiejski,694.0,2020,2812,powiat,28,warmińsko-mazurskie,3971.83
24,042815415000,ostródzki,1766.0,2020,2815,powiat,28,warmińsko-mazurskie,4440.69
249,042815461000,Elbląg,80.0,2020,2861,miasto na prawach powiatu,28,warmińsko-mazurskie,4952.59
250,042815505000,ełcki,1113.0,2020,2805,powiat,28,warmińsko-mazurskie,4364.74
251,042815506000,giżycki,1120.0,2020,2806,powiat,28,warmińsko-mazurskie,4515.13
252,042815513000,olecki,874.0,2020,2813,powiat,28,warmińsko-mazurskie,4438.76
253,042815516000,piski,1775.0,2020,2816,powiat,28,warmińsko-mazurskie,4633.18
254,042815601000,bartoszycki,1307.0,2020,2801,powiat,28,warmińsko-mazurskie,4589.11
255,042815608000,kętrzyński,1213.0,2020,2808,powiat,28,warmińsko-mazurskie,4560.67
256,042815609000,lidzbarski,925.0,2020,2809,powiat,28,warmińsko-mazurskie,4356.34
257,042815610000,mrągowski,1065.0,2020,2810,powiat,28,warmińsko-mazurskie,4311.0
258,042815611000,nidzicki,961.0,2020,2811,powiat,28,warmińsko-mazurskie,4207.91
25,042815614000,olsztyński,2837.0,2020,2814,powiat,28,warmińsko-mazurskie,4823.92
259,042815617000,szczycieński,1933.0,2020,2817,powiat,28,warmińsko-mazurskie,4523.23
261,051011506000,łódzki wschodni,500.0,2020,1006,powiat,10,łódzkie,4423.99
262,051011508000,pabianicki,492.0,2020,1008,powiat,10,łódzkie,4675.17
263,051011520000,zgierski,855.0,2020,1020,powiat,10,łódzkie,5081.59
264,051011521000,brzeziński,359.0,2020,1021,powiat,10,łódzkie,4113.7
265,051011661000,Łódź,293.0,2020,1061,miasto na prawach powiatu,10,łódzkie,5510.99
266,051011701000,bełchatowski,968.0,2020,1001,powiat,10,łódzkie,7002.62
267,051011707000,opoczyński,1040.0,2020,1007,powiat,10,łódzkie,4343.35
26,051011710000,piotrkowski,1429.0,2020,1010,powiat,10,łódzkie,4255.64
27,051011712000,radomszczański,1443.0,2020,1012,powiat,10,łódzkie,4368.96
268,051011716000,tomaszowski,1025.0,2020,1016,powiat,10,łódzkie,4473.72
269,051011762000,Piotrków Trybunalski,67.0,2020,1062,miasto na prawach powiatu,10,łódzkie,4422.85
270,051011803000,łaski,618.0,2020,1003,powiat,10,łódzkie,4162.46
271,051011809000,pajęczański,804.0,2020,1009,powiat,10,łódzkie,4573.46
272,051011811000,poddębicki,881.0,2020,1011,powiat,10,łódzkie,5688.39
273,051011814000,sieradzki,1491.0,2020,1014,powiat,10,łódzkie,4741.55
274,051011817000,wieluński,926.0,2020,1017,powiat,10,łódzkie,4342.78
275,051011818000,wieruszowski,577.0,2020,1018,powiat,10,łódzkie,4165.25
276,051011902000,kutnowski,887.0,2020,1002,powiat,10,łódzkie,4786.11
277,051011904000,łęczycki,773.0,2020,1004,powiat,10,łódzkie,4822.41
278,051011905000,łowicki,988.0,2020,1005,powiat,10,łódzkie,4460.42
279,051011913000,rawski,646.0,2020,1013,powiat,10,łódzkie,4509.52
280,051011915000,skierniewicki,753.0,2020,1015,powiat,10,łódzkie,4451.49
18,052615204000,kielecki,2246.0,2020,2604,powiat,26,świętokrzyskie,4355.66
281,052615205000,konecki,1139.0,2020,2605,powiat,26,świętokrzyskie,4481.58
282,052615207000,ostrowiecki,617.0,2020,2607,powiat,26,świętokrzyskie,4448.08
283,052615211000,starachowicki,523.0,2020,2611,powiat,26,świętokrzyskie,4690.7
284,052615261000,Kielce,110.0,2020,2661,miasto na prawach powiatu,26,świętokrzyskie,5218.61
285,052615301000,buski,968.0,2020,2601,powiat,26,świętokrzyskie,4375.49
286,052615302000,jędrzejowski,1257.0,2020,2602,powiat,26,świętokrzyskie,4969.29
287,052615303000,kazimierski,422.0,2020,2603,powiat,26,świętokrzyskie,4235.96
346,071412865000,Warszawa,517.0,2020,1465,"miasto stołeczne, na prawach powiatu",14,mazowieckie,7147.46
288,052615306000,opatowski,911.0,2020,2606,powiat,26,świętokrzyskie,4269.94
289,052615308000,pińczowski,613.0,2020,2608,powiat,26,świętokrzyskie,4445.79
290,052615309000,sandomierski,676.0,2020,2609,powiat,26,świętokrzyskie,4966.33
347,071412908000,legionowski,391.0,2020,1408,powiat,14,mazowieckie,5059.53
291,052615312000,staszowski,925.0,2020,2612,powiat,26,świętokrzyskie,4825.77
11,071427164000,Siedlce,32.0,2020,1464,miasto na prawach powiatu,14,mazowieckie,5187.54
292,052615313000,włoszczowski,908.0,2020,2613,powiat,26,świętokrzyskie,4722.28
32,060610901000,bialski,2754.0,2020,0601,powiat,06,lubelskie,4258.54
12,071427306000,grójecki,1268.0,2020,1406,powiat,14,mazowieckie,5088.28
293,060610913000,parczewski,952.0,2020,0613,powiat,06,lubelskie,4478.61
294,060610915000,radzyński,965.0,2020,0615,powiat,06,lubelskie,4385.35
295,060610919000,włodawski,1256.0,2020,0619,powiat,06,lubelskie,4333.34
28,060611002000,biłgorajski,1681.0,2020,0602,powiat,06,lubelskie,4522.48
29,060611003000,chełmski,1886.0,2020,0603,powiat,06,lubelskie,4291.62
30,060611004000,hrubieszowski,1268.0,2020,0604,powiat,06,lubelskie,4518.56
296,060611006000,krasnostawski,1032.0,2020,0606,powiat,06,lubelskie,4548.95
297,060611018000,tomaszowski,1489.0,2020,0618,powiat,06,lubelskie,4337.56
300,060611108000,lubartowski,1289.0,2020,0608,powiat,06,lubelskie,4369.45
301,060611110000,łęczyński,637.0,2020,0610,powiat,06,lubelskie,6391.65
302,060611117000,świdnicki,468.0,2020,0617,powiat,06,lubelskie,5074.45
303,060611163000,Lublin,148.0,2020,0663,miasto na prawach powiatu,06,lubelskie,5412.39
304,060611205000,janowski,876.0,2020,0605,powiat,06,lubelskie,4437.27
305,060611207000,kraśnicki,1005.0,2020,0607,powiat,06,lubelskie,4244.39
306,060611211000,łukowski,1394.0,2020,0611,powiat,06,lubelskie,4146.78
307,060611212000,opolski,810.0,2020,0612,powiat,06,lubelskie,4252.35
308,060611214000,puławski,934.0,2020,0614,powiat,06,lubelskie,5311.8
309,060611216000,rycki,615.0,2020,0616,powiat,06,lubelskie,4386.95
310,061813301000,bieszczadzki,1139.0,2020,1801,powiat,18,podkarpackie,4445.97
311,061813302000,brzozowski,539.0,2020,1802,powiat,18,podkarpackie,4206.54
312,061813305000,jasielski,831.0,2020,1805,powiat,18,podkarpackie,4560.2
313,061813307000,krośnieński,993.0,2020,1807,powiat,18,podkarpackie,4050.39
314,061813317000,sanocki,1156.0,2020,1817,powiat,18,podkarpackie,4431.17
315,061813321000,leski,835.0,2020,1821,powiat,18,podkarpackie,4832.85
317,061813404000,jarosławski,1029.0,2020,1804,powiat,18,podkarpackie,4541.33
318,061813409000,lubaczowski,1308.0,2020,1809,powiat,18,podkarpackie,4214.71
319,061813413000,przemyski,1211.0,2020,1813,powiat,18,podkarpackie,4126.82
320,061813414000,przeworski,698.0,2020,1814,powiat,18,podkarpackie,4255.41
322,061813506000,kolbuszowski,774.0,2020,1806,powiat,18,podkarpackie,4220.93
