oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Dochody na 1 mieszkańca|gminy łącznie z miastami na prawach powiatu|ogółem
341,062013901000,augustowski,1659.0,2020,2001,powiat,20,podlaskie,5648.17
342,062013904000,grajewski,968.0,2020,2004,powiat,20,podlaskie,5931.39
343,062013908000,moniecki,1382.0,2020,2008,powiat,20,podlaskie,5445.04
344,062013909000,sejneński,855.0,2020,2009,powiat,20,podlaskie,6052.27
345,062013912000,suwalski,1307.0,2020,2012,powiat,20,podlaskie,6439.46
348,071412912000,miński,1164.0,2020,1412,powiat,14,mazowieckie,6093.65
349,071412917000,otwocki,616.0,2020,1417,powiat,14,mazowieckie,6127.64
350,071412934000,wołomiński,954.0,2020,1434,powiat,14,mazowieckie,5819.55
351,071413005000,grodziski,367.0,2020,1405,powiat,14,mazowieckie,6975.06
352,071413014000,nowodworski,695.0,2020,1414,powiat,14,mazowieckie,6088.29
353,071413018000,piaseczyński,621.0,2020,1418,powiat,14,mazowieckie,6848.5
354,071413021000,pruszkowski,246.0,2020,1421,powiat,14,mazowieckie,6775.03
355,071413032000,warszawski zachodni,534.0,2020,1432,powiat,14,mazowieckie,7351.85
356,071422502000,ciechanowski,1060.0,2020,1402,powiat,14,mazowieckie,5712.77
357,071422513000,mławski,1182.0,2020,1413,powiat,14,mazowieckie,6035.21
358,071422520000,płoński,1380.0,2020,1420,powiat,14,mazowieckie,6021.83
359,071422524000,pułtuski,827.0,2020,1424,powiat,14,mazowieckie,6083.41
